"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,
"World Fertility Data 2012
ANNUAL NUMBER OF BIRTHS AND CRUDE BIRTH RATE

Copyright ? 2013 by United Nations. All rights reserved.
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2013). World Fertility Data 2012 (POP/DB/Fert/Rev2012).",,,,,,,,,,,,,,,,
Country,ISO code,Period,Reference,,Number of births,"Crude birth rate
(per thousand)",Source type,Source,,Survey name,Note on country or population,Note on definition of live birth,Note on methods,Additional note,Note on population data used in denominator,
,,,Year,Period,,,,"Number of 
births",Crude birth rate,,,,,,,
Bosnia and Herzegovina,70,Around 1970,1970,,"79,296",22.2,Registration,Eurostat,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bosnia and Herzegovina,70,Around 1985,1985,,"72,722",17.6,Registration,Eurostat,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bosnia and Herzegovina,70,Around 1995,1996,,"46,594",12.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bosnia and Herzegovina,70,Around 2005,2005,,"34,627",9.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bosnia and Herzegovina,70,Latest,2010,,"33,528",8.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Botswana,72,Around 1970,1971,,"31,851",44.5,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Botswana,72,Around 1985,1981,,"42,968",41.6,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Botswana,72,Around 1995,1991,,"55,946",39.3,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Botswana,72,Around 2005,2001,,"51,392",28.8,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Botswana,72,Latest,2006,,"56,647",29.8,Survey,,National statistics,Botswana 2006 Demographic Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Brazil,76,Around 1970,1970,,"3,622,152",37.7,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Brazil,76,Around 1985,1980,,"3,878,957",31.9,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Brazil,76,Around 1995,1994,1993-1996,"3,443,009",21.6,Survey,,DHS,Brazil 1996 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Brazil,76,Around 2005,2005,,"3,291,969",17.7,Registration,,National statistics,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Brazil,76,Latest,2008,,"3,141,309",16.4,Registration,,National statistics,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
British Virgin Islands,92,Around 1970,1970,,313,32.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
British Virgin Islands,92,Around 1985,1985,,241,20.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
