"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,
"World Fertility Data 2012
ANNUAL NUMBER OF BIRTHS AND CRUDE BIRTH RATE

Copyright ? 2013 by United Nations. All rights reserved.
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2013). World Fertility Data 2012 (POP/DB/Fert/Rev2012).",,,,,,,,,,,,,,,,
Country,ISO code,Period,Reference,,Number of births,"Crude birth rate
(per thousand)",Source type,Source,,Survey name,Note on country or population,Note on definition of live birth,Note on methods,Additional note,Note on population data used in denominator,
,,,Year,Period,,,,"Number of 
births",Crude birth rate,,,,,,,
Rwanda,646,Around 1970,1970,,"191,182",51.0,Survey,,National statistics,Rwanda 1970 Enqu¨ºte d¨¦mographique,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Rwanda,646,..,1991,1989-1992,"281,719",41.0,Survey,,DHS,Rwanda 1992 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Rwanda,646,Around 1995,1999,1997-2000,"297,248",39.2,Survey,,DHS,Rwanda 2000 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Rwanda,646,Around 2005,2006,2005-2008,"370,103",39.2,Survey,,DHS,Rwanda 2007-2008 Demographic and Health Survey (Interim),,,,,Population data are national estimates published by the United Nations Statistics Division.,
Rwanda,646,Latest,2009,2007-2010,"354,708",34.4,Survey,,DHS,Rwanda 2010 Demographic and Health Survey ,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Saint Helena,654,Around 1970,1970,,167,33.8,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Saint Helena,654,Around 1985,1985,,84,14.9,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Saint Helena,654,Around 1995,1995,,72,13.7,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Saint Helena,654,Around 2005,2004,,34,7.2,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Saint Helena,654,Latest,2005,,34,7.4,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Saint Kitts and Nevis,659,Around 1970,1970,,"1,156",25.7,Registration,UNSD,,,Including Anguilla.,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Kitts and Nevis,659,Around 1985,1985,,"1,026",23.3,Registration,UNSD,,,Including Anguilla.,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Kitts and Nevis,659,Around 1995,1995,,797,18.3,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Kitts and Nevis,659,Around 2005,2000,,838,18.9,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Kitts and Nevis,659,Latest,2001,,803,17.2,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Saint Lucia,662,Around 1970,1970,,"3,958",39.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Lucia,662,Around 1985,1985,,"4,223",33.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Lucia,662,Around 1995,1995,,"3,705",25.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Lucia,662,Around 2005,2004,,"2,322",14.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Lucia,662,Latest,2005,,"2,298",14.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Pierre and Miquelon,666,Around 1970,1970,,150,27.5,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Saint Pierre and Miquelon,666,Around 1985,1984,,128,20.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Pierre and Miquelon,666,Around 1995,1995,,75,11.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Pierre and Miquelon,666,Around 2005,2006,,83,13.6,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Saint Pierre and Miquelon,666,Latest,2007,,46,7.6,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Saint Vincent and the Grenadines,670,Around 1970,1970,,"3,327",35.7,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Vincent and the Grenadines,670,Around 1985,1986,,"2,708",26.4,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Vincent and the Grenadines,670,Around 1995,1995,,"2,614",23.6,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Vincent and the Grenadines,670,Around 2005,2005,,"1,779",17.1,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saint Vincent and the Grenadines,670,Latest,2009,,"1,905",18.9,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Samoa,882,Around 1970,1971,,"5,449",37.7,Registration,,National statistics,,,,Adjusted estimate.,,Population data are national estimates published by the United Nations Statistics Division.,
Samoa,882,Around 1985,1988,,"4,553",28.6,Registration,,National statistics,,,,Estimate.,,Population data are national estimates published by the United Nations Statistics Division.,
Samoa,882,Around 1995,1991,,"4,212",25.9,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Samoa,882,Around 2005,2006,,"4,935",27.3,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Samoa,882,Latest,2008,2006-2009,"5,200",28.6,Survey,,National statistics,Samoa 2009 Demographic and Health Survey,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
San Marino,674,Around 1970,1970,,288,15.0,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
San Marino,674,Around 1985,1985,,207,9.3,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
San Marino,674,Around 1995,1995,,244,9.8,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
San Marino,674,Around 2005,2005,,284,9.5,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
San Marino,674,Latest,2011,,325,10.2,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Sao Tome and Principe,678,Around 1970,1970,,"3,276",44.5,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Sao Tome and Principe,678,Around 1985,1981,,"4,012",41.5,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Sao Tome and Principe,678,Around 1995,1991,,"4,134",34.9,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Sao Tome and Principe,678,Around 2005,2001,,"4,854",33.8,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Sao Tome and Principe,678,Latest,2007,2005-2008,"5,429",34.5,Survey,,DHS,Sao Tome and Principe 2008-2009 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Saudi Arabia,682,Around 1995,1992,,"715,583",42.7,Census,,National statistics,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saudi Arabia,682,..,1999,1998-1999,"509,352",25.5,Survey,National statistics,,Saudi Arabia 1999 Demographic Survey,Data pertain to live births to Saudi nationals.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saudi Arabia,682,Around 2005,2004,,"417,953",18.5,Census,National statistics,,,Data pertain to live births to Saudi nationals.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Saudi Arabia,682,Latest,2007,2006-2007,"438,175",17.2,Survey,National statistics,,Saudi Arabia 2007 Demographic Survey,Data pertain to live births to Saudi nationals.,,,,Population data are national estimates published by the United Nations Statistics Division.,
Senegal,686,Around 1970,1970,,"200,436",48.9,Survey,National statistics,,Senegal 1970-1971 Enqu¨ºte d¨¦mographique,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Senegal,686,Around 1985,1986,,"301,755",47.0,Survey,,DHS,Senegal 1986 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Senegal,686,Around 1995,1995,1994-1997,"328,907",39.3,Survey,,DHS,Senegal 1997 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Senegal,686,Around 2005,2003,2002-2005,"402,650",39.1,Survey,,DHS,Senegal 2005 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Senegal,686,Latest,2007,2006-2009,"428,005",37.3,Survey,,DHS,Senegal 2008-2009 Malaria Indicators Surveys (MIS),,,,,Population data are national estimates published by the United Nations Statistics Division.,
Serbia,688,Around 1970,1970,,"146,949",17.5,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Serbia,688,Around 1985,1985,,"155,854",16.2,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Serbia,688,Around 1995,1995,,"131,012",13.2,Registration,Eurostat,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Serbia,688,Around 2005,2005,,"72,180",9.7,Registration,,National statistics,,Excluding data for Kosovo and Metohia.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Serbia,688,Latest,2009,,"70,299",9.6,Registration,,National statistics,,Excluding data for Kosovo and Metohia.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Seychelles,690,Around 1970,1970,,"1,660",31.1,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Seychelles,690,Around 1985,1985,,"1,729",26.5,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Seychelles,690,Around 1995,1995,,"1,582",21.0,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Seychelles,690,Around 2005,2005,,"1,536",18.5,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Seychelles,690,Latest,2011,,"1,625",18.6,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Sierra Leone,694,Around 1970,1974,,"140,084",50.2,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Sierra Leone,694,Around 1985,1985,,"176,328",49.8,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Sierra Leone,694,Around 1995,1992,1991-1992,"180,751",45.4,Survey,,National statistics,Sierra Leone 1992 Demographic and Social Situation,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Sierra Leone,694,Around 2005,2004,,"238,693",48.2,Census,,National statistics,,,,Adjusted estimate.,,Population data are national estimates published by the United Nations Statistics Division.,
Sierra Leone,694,Latest,2006,2005-2008,"167,812",31.5,Survey,,DHS,Sierra Leone 2008 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Singapore,702,Around 1970,1970,,"45,934",22.1,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Singapore,702,Around 1985,1985,,"42,484",15.5,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Singapore,702,Around 1995,1995,,"48,635",13.8,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Singapore,702,Around 2005,2005,,"37,492",8.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Singapore,702,Latest,2010,,"37,967",7.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Slovakia,703,Around 1970,1970,,"80,666",17.8,Registration,Eurostat,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Slovakia,703,Around 1985,1985,,"90,155",17.5,Registration,Eurostat,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Slovakia,703,Around 1995,1995,,"61,427",11.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Slovakia,703,Around 2005,2005,,"54,430",10.1,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Slovakia,703,Latest,2011,,"60,813",11.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Slovenia,705,Around 1970,1970,,"27,432",15.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Slovenia,705,Around 1985,1985,,"25,933",13.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Slovenia,705,Around 1995,1995,,"18,980",9.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Slovenia,705,Around 2005,2005,,"18,157",9.1,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Slovenia,705,Latest,2010,,"22,343",10.9,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Solomon Islands,90,Around 1985,1986,,"10,019",36.2,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Solomon Islands,90,Around 1995,1996,,"11,557",31.5,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Solomon Islands,90,..,1999,,"12,761",32.1,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Solomon Islands,90,Around 2005,2000,,"12,503",30.6,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Solomon Islands,90,Latest,2006,2004-2007,"16,470",34.1,Survey,,National statistics,Solomon Islands 2006-2007 Demographic and Health Survey,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Somalia,706,Around 1970,1975,,"177,701",43.2,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Somalia,706,Around 1985,1981,,"323,288",49.0,Survey,,National statistics,"Somalia 1980 Fertility and Mortality Survey of Benadir, Bay and Lower Shebelle","Data pertain to Benadir, Bay and Lower Shebelle.",,Estimate.,,Population data are national estimates published by the United Nations Statistics Division.,
Somalia,706,Latest,2003,2002-2003,"375,152",47.0,Survey,,National statistics,Somalia 2002-2003 Reproductive Health Survey,"Data pertain to Benadir, Bay and Lower Shebelle.",,,,Population data are national estimates published by the United Nations Statistics Division.,
South Africa,710,Around 1970,1974,,"991,611",39.6,Survey,,National statistics,South Africa 1974 Fertility and Family Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
South Africa,710,Around 1995,1996,1995-1998,"932,084",22.1,Survey,,DHS,South Africa 1998 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
South Africa,710,Around 2005,2002,2000-2003,"805,270",17.5,Survey,,DHS,South Africa 2003 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
South Africa,710,Latest,2007,,"1,059,881",21.7,Survey,,National statistics,South Africa 2007 Community Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
South Sudan,728,Around 2005,2000,,,40.0,Survey,,National statistics,Sudan 2000 Multiple Indicator Cluster Survey,Data pertain to pre-secession Southern Sudan.,,,,,
South Sudan,728,Latest,2008,,"230,468",27.9,Census,National statistics,,,Data pertain to pre-secession Southern Sudan.,,,,Population data are national estimates published by national statistical office.,
Spain,724,Around 1970,1970,,"656,102",19.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Spain,724,Around 1985,1985,,"456,298",11.9,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Spain,724,Around 1995,1995,,"363,469",9.2,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Spain,724,Around 2005,2005,,"466,371",10.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Spain,724,Latest,2010,,"485,252",10.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Sri Lanka,144,Around 1970,1970,,"367,901",29.3,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Sri Lanka,144,Around 1985,1985,,"389,599",24.0,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Sri Lanka,144,Around 1995,1995,,"343,224",18.8,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Sri Lanka,144,Around 2005,2005,,"370,424",18.7,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Sri Lanka,144,Latest,2007,,"386,573",19.1,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
State of Palestine,275,Around 1970,1970,,"42,440",37.7,Registration,National statistics,,,Data pertain to live births to Palestinian Arabs in the West Bank and Gaza Strip.,,,,Population data are national estimates published by the United Nations Statistics Division.,
State of Palestine,275,Around 1985,1985,,"57,528",32.7,Registration,National statistics,,,Data pertain to live births to Palestinian Arabs in the West Bank and Gaza Strip.,,,,Population data are national estimates published by the United Nations Statistics Division.,
State of Palestine,275,..,1992,,"84,000",37.1,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
State of Palestine,275,Around 1995,1997,,"121,596",42.7,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
State of Palestine,275,Latest,2007,,"136,827",36.7,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Sudan,729,Around 1995,1993,,"636,697",32.0,Census,National statistics,National statistics,,Data pertain to pre-secession Northern Sudan.,,,,,
Sudan,729,Latest,2008,,"893,772",29.3,Census,National statistics,,,Data pertain to pre-secession Northern Sudan.,,,,Population data are national estimates published by national statistical office.,
Suriname,740,Around 1970,1970,,"12,557",36.2,Registration,UNSD,,,Data coverage is partial.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Suriname,740,Around 1985,1985,,"11,704",30.8,Registration,UNSD,,,Data coverage is partial.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Suriname,740,Around 1995,1995,,"8,717",21.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Suriname,740,Around 2005,2005,,"8,657",17.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Suriname,740,Latest,2009,,"9,792",18.7,Registration,UNSD,,,Including births to non-resident mothers.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Swaziland,748,Around 1970,1966,,"18,775",46.8,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Swaziland,748,Around 1985,1986,,"35,497",48.3,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Swaziland,748,Around 1995,1997,,"31,087",30.9,Census,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Swaziland,748,Latest,2005,2003-2006,"34,363",31.1,Survey,,DHS,Swaziland 2006-2007 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Sweden,752,Around 1970,1970,,"110,150",13.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Sweden,752,Around 1985,1985,,"98,463",11.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Sweden,752,Around 1995,1995,,"103,326",11.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Sweden,752,Around 2005,2005,,"101,346",11.2,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Sweden,752,Latest,2011,,"111,770",11.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Switzerland,756,Around 1970,1970,,"99,216",16.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Switzerland,756,Around 1985,1985,,"74,684",11.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Switzerland,756,Around 1995,1995,,"82,203",11.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Switzerland,756,Around 2005,2005,,"72,903",9.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Switzerland,756,Latest,2010,,"80,290",10.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Syrian Arab Republic,760,Around 1970,1970,,"296,320",46.5,Registration,National statistics,,,,,Including births that took place the previous year and were registered during the year.,,Population data are national estimates published by the United Nations Statistics Division.,
Syrian Arab Republic,760,Around 1985,1985,,"475,947",45.0,Registration,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Syrian Arab Republic,760,Around 1995,1994,,"456,377",33.0,Registration,National statistics,,,,,Including births that took place the previous year and were registered during the year.,,Population data are national estimates published by the United Nations Statistics Division.,
Syrian Arab Republic,760,Around 2005,2004,,"607,470",33.7,Registration,National statistics,,,,,Including births that took place the previous year and were registered during the year.,,Population data are national estimates published by the United Nations Statistics Division.,
Syrian Arab Republic,760,Latest,2007,,"430,183",22.3,Registration,National statistics,,,,,Including births that took place the previous year and were registered during the year.,,Population data are national estimates published by the United Nations Statistics Division.,
Tajikistan,762,Around 1970,1970,,"102,448",34.8,Registration,,National statistics,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Tajikistan,762,Around 1985,1985,,"182,716",40.1,Registration,UNSD,,,,"Excluding live-born infants of less than 28 weeks' gestation, of less than 1,000 grams in weight and 35 centimetres in length, who died within seven days of birth.",,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Tajikistan,762,Around 1995,1994,,"162,152",28.9,Registration,UNSD,,,,"Excluding live-born infants of less than 28 weeks' gestation, of less than 1,000 grams in weight and 35 centimetres in length, who died within seven days of birth.",,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Tajikistan,762,Around 2005,2005,,"180,800",26.4,Registration,UNSD,,,,"Excluding live-born infants of less than 28 weeks' gestation, of less than 1,000 grams in weight and 35 centimetres in length, who died within seven days of birth.",Adjusted estimate.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Tajikistan,762,Latest,2006,,"186,500",26.7,Registration,UNSD,,,,"Excluding live-born infants of less than 28 weeks' gestation, of less than 1,000 grams in weight and 35 centimetres in length, who died within seven days of birth.",Adjusted estimate.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Thailand,764,Around 1970,1973,1970-1975,"1,323,218",32.9,Survey,,WFS,Thailand 1975 World Fertility Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Thailand,764,Around 1985,1986,1985-1986,"1,273,220",23.9,Survey,,National statistics,Thailand 1985-1986 Survey of Population Change,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Thailand,764,Around 1995,1996,1995-1996,"1,078,620",17.9,Survey,,National statistics,Thailand 1995-1996 Survey of Population Change,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Thailand,764,Around 2005,2004,,"813,069",12.3,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Thailand,764,Latest,2006,2005-2006,"729,949",10.8,Survey,,National statistics,Thailand 2005-2006 Survey of Population Change,,,,,Population data are national estimates published by the United Nations Statistics Division.,
The former Yugoslav Republic of Macedonia,807,Around 1970,1970,,"37,862",23.2,Registration,Eurostat,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
The former Yugoslav Republic of Macedonia,807,Around 1985,1985,,"38,722",19.7,Registration,Eurostat,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
The former Yugoslav Republic of Macedonia,807,Around 1995,1995,,"32,154",16.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
The former Yugoslav Republic of Macedonia,807,Around 2005,2005,,"22,482",11.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
The former Yugoslav Republic of Macedonia,807,Latest,2010,,"24,296",11.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Timor-Leste,626,Around 1970,1972,,"24,994",39.2,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Timor-Leste,626,Around 2005,2004,,"39,168",42.4,Census,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Timor-Leste,626,Latest,2008,2006-2009,"35,848",33.2,Survey,,DHS,Timor-Leste 2009-2010 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Togo,768,Around 1970,1970,,"94,377",45.0,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Togo,768,Around 1985,1981,,"122,701",44.6,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Togo,768,Around 1995,1996,1995-1998,"146,885",34.9,Survey,,DHS,Togo 1998 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Tokelau,772,..,1976,,51,32.4,Registration,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
